screen_name profile_duration default_profile default_profile_image description_not_null favourites_count followers_count friends_count geo_enabled listed_count location_not_null profile_use_background_image protected statuses_count url_not_null verified class
kingdam86 331.878900463 1 0 1 1 393 558 0 0 1 1 0 1056 0 0 1
creneew 1680.042719907 0 0 1 5 35 126 0 0 1 1 0 2 0 0 1
_CharlesDaniel 948.328159722 0 0 1 0 123 705 0 2 1 1 0 11 0 0 1
Manrobe 1180.497569444 1 0 1 0 16 218 0 0 1 1 0 58 0 0 1
I_Didnt_Want_D 37.017847222 0 1 1 5 175 1995 0 0 1 1 0 178 0 0 0
wanda1792 873.257013889 1 0 1 0 10 23 0 0 1 1 0 64 0 0 1
DBQ99 958.223587963 1 0 1 81 6 93 1 2 1 1 0 8 0 0 1
FellipeCheeky 400.458020833 0 0 1 0 448 2001 0 0 1 1 0 479 1 0 1
dinayanti6 33.498252315 1 0 1 0 26 405 0 0 1 1 0 14 0 0 1
ShintablLue 277.87255787 1 1 1 1 2 18 0 0 1 1 0 3 0 0 1
clynch32 1230.553703704 1 0 1 0 9 58 0 0 1 1 0 10 0 0 1
DrDogs247 917.765729167 0 0 1 16 44621 44439 0 1162 1 1 0 204016 1 0 0
laurentasty 517.054930556 0 0 1 343 154 197 0 0 1 1 0 8583 0 0 1
momomerete 295.921400463 1 0 1 4 519 294 1 0 1 1 0 154 0 0 1
FrankTerranova 1356.200451389 0 0 1 7 16756 590 0 109 1 1 0 1617 0 0 0
HarrisVince 408.617395833 1 0 1 0 82 397 1 1 1 1 0 381 0 0 0
econbusspeaker 1377.093368056 0 0 1 1756 33567 36064 1 409 1 1 0 15654 1 0 0
GuilhermeeAlvee 438.617951389 1 1 1 527 29 2001 0 0 1 1 0 543 0 0 0
CandyceStapen 93.336967593 1 0 1 0 173 447 0 1 1 1 0 18 0 0 1
Steps2success1 434.505138889 1 0 1 0 115 431 0 2 1 1 0 4942 1 0 0
bbcmundo 1809.211736111 0 0 1 52 369107 196 0 8404 1 1 0 21290 1 0 0
gdouillet 875.748958333 1 0 1 2 104 534 0 1 1 1 0 59 0 0 1
_Jonny190 819.898009259 1 0 1 1 58 155 0 0 1 1 0 949 0 0 1
RenaArtley 114.956412037 0 0 1 0 185 998 0 0 1 1 0 0 1 0 0
Viviliciousxo 1261.916400463 0 0 1 11 317 863 1 6 1 1 0 2672 1 0 1
Veinaomesegue 121.501261574 0 0 1 0 103 420 0 0 1 1 0 20 0 0 1
LIVELIFEKENTARO 835.541967593 0 0 1 2 98 120 1 0 1 1 0 3501 0 0 1
erika_aaaa 515.556296296 1 0 1 0 158 1440 0 2 1 1 0 2049 0 0 0
JhowOusadia 154.663368056 0 0 1 0 369 821 0 0 1 1 0 220 0 0 1
mobiliseblog 369.661273148 0 0 1 1 1284 1781 1 33 1 0 0 2103 1 0 0
lozzay14 368.181875 1 0 1 1 478 828 0 0 1 1 0 346 0 0 1
rickwmm 1023.211099537 1 1 1 1 6 72 0 0 1 1 0 85 0 0 1
rbnmrny 2028.743854167 0 0 1 115 184 263 0 4 1 1 0 5620 0 0 1
JodiGucciBarbie 869.315428241 0 0 1 0 479 1713 0 15 1 1 0 9 0 0 0
ZSylvester 1400.683125 0 0 1 8 763 584 1 16 1 1 0 10109 1 0 1
just_kiddingg 456.134247685 0 0 1 0 54 422 0 0 1 1 0 2471 1 0 1
_NaughtyXX 305.830914352 0 0 1 25 8068 1319 0 53 1 1 0 9920 0 0 0
politiballs 922.942685185 0 0 1 100 149 466 0 6 1 1 0 841 0 0 0
LILIANHICEL 969.460706019 1 0 1 2 91 346 1 2 1 1 0 40 0 0 1
rickyd66u 741.558831019 1 0 1 876 199 1999 1 0 1 1 0 31 0 0 1
AnthonyDejolde 464.664178241 1 0 1 7 234 612 1 1 1 1 0 1230 1 0 0
swenneypgtd 329.094467593 1 0 1 0 30 387 0 0 1 1 0 17 0 0 1
AndersonGiliart 1114.865219907 0 0 1 1 754 2001 0 0 1 1 0 17 1 0 1
LuigiBOCCIA4 29.390636574 0 0 1 0 16 115 0 0 1 1 0 0 0 0 1
angelahey1986 1329.213460648 0 0 1 119 240 235 0 2 1 1 0 5994 0 0 1
jusTWEETthtSHXT 769.809293981 0 0 1 2 101 91 0 0 1 1 0 1170 0 0 1
deannacruz 1355.49244213 0 0 1 43 4490 786 0 31 1 1 0 12078 1 0 0
i_Brainstorm 252.049803241 1 0 1 3 203 377 1 0 1 1 0 564 0 0 1
barcelona87 935.156134259 1 1 1 0 4 29 0 0 1 1 0 45 0 0 0
TashingaProject 1122.164085648 0 0 1 0 1245 1919 0 61 1 1 0 2267 1 0 0
afish2000 630.821493056 1 0 1 28 31 209 0 0 1 1 0 440 1 0 1
Josetastavan 541.205648148 1 0 1 0 512 2002 0 1 1 1 0 4 0 0 1
RZatara 6.535069444 1 1 1 0 37 691 0 0 1 1 0 0 0 0 1
EmmyPlatt 1052.87625 0 0 1 116 139 172 1 0 1 1 0 2157 0 0 1
mimi23cuties 6.80212963 1 0 1 1 0 15 0 0 1 1 0 3 0 0 1
shaiels 684.37212963 1 1 1 0 26 1973 0 0 1 1 0 193 0 0 1
cclouise 1262.125 0 0 1 6 464 318 0 5 1 0 0 5370 1 0 1
djvenom868 222.233194444 0 0 1 0 71 185 1 0 1 1 0 451 0 0 1
AuliaGenk 203.763981481 0 0 1 45 333 1204 1 0 1 1 0 27 1 0 1
Spirit_Dove 1287.482222222 0 0 1 58 461 488 0 9 1 1 0 116 1 0 1
Makavella7 86.255960648 0 0 1 0 597 1234 0 0 1 1 0 109 1 0 1
pedrowieck 1220.789479167 1 1 1 0 1 10 0 0 1 1 0 1 0 0 1
Suntikin 962.279652778 0 0 1 21 12234 10923 0 24 1 1 0 3297 1 0 1
Sillyeb 584.513148148 0 0 1 62 165 996 1 2 1 1 0 3469 0 0 1
